
============================================================
  FreshBus Competitor Dashboard — Demo Server
============================================================
  Dashboard : http://localhost:8000
  API docs  : http://localhost:8000/api/docs
  Health    : http://localhost:8000/health
============================================================

INFO:     127.0.0.1:52108 - "GET /assets/x-CakDCczf.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:57187 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57187 - "GET /api/v1/metrics/google-reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:52108 - "GET /api/v1/history/google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:64650 - "GET /api/v1/reviews/top?source=google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:52254 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:52254 - "GET /assets/index-BDBShbui.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /assets/index-Bmo0I34g.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /assets/OverviewPage-CocECXlf.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /assets/KPICard-ClbOKOca.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /assets/trophy-DPvlyacv.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /assets/layers-BuByipg-.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52254 - "GET /api/v1/metrics/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:52254 - "GET /redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:53396 - "GET /assets/HeatmapCell-nA0EtP1p.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52254 - "GET /assets/RedbusPage-BXnJ7hwo.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53396 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52254 - "GET /assets/x-CakDCczf.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53396 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:63850 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /?final=1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /assets/index-BFrrHu72.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51215 - "GET /assets/index-CfCLwUrD.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51215 - "GET /assets/KPICard-D3xM5g4k.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /assets/OverviewPage-Dd30VTeU.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /assets/trophy-pwoQbh6F.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /assets/layers-jj7ADM8d.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
